Product ID,Type,Factory_ID
M14860,M,Factory_C_Giza
L47181,L,Factory_A_Cairo
L47182,L,Factory_C_Giza
L47183,L,Factory_C_Giza
L47184,L,Factory_A_Cairo
M14865,M,Factory_A_Cairo
L47186,L,Factory_C_Giza
L47187,L,Factory_B_Alex
M14868,M,Factory_C_Giza
M14869,M,Factory_C_Giza
H29424,H,Factory_C_Giza
H29425,H,Factory_C_Giza
M14872,M,Factory_A_Cairo
M14873,M,Factory_C_Giza
L47194,L,Factory_B_Alex
L47195,L,Factory_A_Cairo
M14876,M,Factory_B_Alex
M14877,M,Factory_B_Alex
H29432,H,Factory_B_Alex
M14879,M,Factory_B_Alex
H29434,H,Factory_A_Cairo
L47201,L,Factory_A_Cairo
M14882,M,Factory_B_Alex
L47203,L,Factory_B_Alex
M14884,M,Factory_A_Cairo
L47205,L,Factory_A_Cairo
L47206,L,Factory_A_Cairo
H29441,H,Factory_C_Giza
L47208,L,Factory_C_Giza
L47209,L,Factory_C_Giza
M14890,M,Factory_B_Alex
L47211,L,Factory_C_Giza
L47212,L,Factory_B_Alex
L47213,L,Factory_B_Alex
M14894,M,Factory_C_Giza
M14895,M,Factory_B_Alex
M14896,M,Factory_C_Giza
L47217,L,Factory_C_Giza
H29452,H,Factory_A_Cairo
L47219,L,Factory_C_Giza
L47220,L,Factory_A_Cairo
L47221,L,Factory_C_Giza
M14902,M,Factory_C_Giza
H29457,H,Factory_A_Cairo
M14904,M,Factory_A_Cairo
L47225,L,Factory_C_Giza
M14906,M,Factory_B_Alex
L47227,L,Factory_A_Cairo
H29462,H,Factory_B_Alex
M14909,M,Factory_B_Alex
L47230,L,Factory_B_Alex
L47231,L,Factory_A_Cairo
H29466,H,Factory_B_Alex
L47233,L,Factory_A_Cairo
L47234,L,Factory_B_Alex
L47235,L,Factory_C_Giza
L47236,L,Factory_C_Giza
L47237,L,Factory_A_Cairo
M14918,M,Factory_C_Giza
L47239,L,Factory_C_Giza
L47240,L,Factory_B_Alex
M14921,M,Factory_A_Cairo
L47242,L,Factory_B_Alex
M14923,M,Factory_B_Alex
L47244,L,Factory_B_Alex
L47245,L,Factory_B_Alex
M14926,M,Factory_B_Alex
H29481,H,Factory_B_Alex
L47248,L,Factory_B_Alex
L47249,L,Factory_A_Cairo
M14930,M,Factory_C_Giza
L47251,L,Factory_B_Alex
L47252,L,Factory_B_Alex
L47253,L,Factory_B_Alex
L47254,L,Factory_B_Alex
L47255,L,Factory_B_Alex
L47256,L,Factory_B_Alex
L47257,L,Factory_C_Giza
L47258,L,Factory_C_Giza
L47259,L,Factory_B_Alex
H29494,H,Factory_C_Giza
L47261,L,Factory_A_Cairo
L47262,L,Factory_B_Alex
L47263,L,Factory_A_Cairo
L47264,L,Factory_A_Cairo
M14945,M,Factory_B_Alex
H29500,H,Factory_C_Giza
L47267,L,Factory_A_Cairo
M14948,M,Factory_B_Alex
M14949,M,Factory_A_Cairo
L47270,L,Factory_A_Cairo
L47271,L,Factory_A_Cairo
M14952,M,Factory_A_Cairo
L47273,L,Factory_C_Giza
L47274,L,Factory_A_Cairo
M14955,M,Factory_A_Cairo
M14956,M,Factory_A_Cairo
M14957,M,Factory_C_Giza
L47278,L,Factory_A_Cairo
L47279,L,Factory_A_Cairo
L47280,L,Factory_C_Giza
L47281,L,Factory_C_Giza
L47282,L,Factory_C_Giza
M14963,M,Factory_A_Cairo
L47284,L,Factory_C_Giza
L47285,L,Factory_C_Giza
L47286,L,Factory_A_Cairo
M14967,M,Factory_C_Giza
H29522,H,Factory_A_Cairo
L47289,L,Factory_B_Alex
L47290,L,Factory_C_Giza
H29525,H,Factory_B_Alex
M14972,M,Factory_A_Cairo
M14973,M,Factory_C_Giza
L47294,L,Factory_A_Cairo
L47295,L,Factory_B_Alex
L47296,L,Factory_A_Cairo
L47297,L,Factory_C_Giza
M14978,M,Factory_C_Giza
L47299,L,Factory_B_Alex
L47300,L,Factory_A_Cairo
L47301,L,Factory_C_Giza
L47302,L,Factory_B_Alex
L47303,L,Factory_C_Giza
L47304,L,Factory_C_Giza
L47305,L,Factory_A_Cairo
L47306,L,Factory_C_Giza
L47307,L,Factory_A_Cairo
L47308,L,Factory_C_Giza
L47309,L,Factory_B_Alex
L47310,L,Factory_C_Giza
L47311,L,Factory_A_Cairo
M14992,M,Factory_A_Cairo
M14993,M,Factory_B_Alex
L47314,L,Factory_C_Giza
M14995,M,Factory_C_Giza
H29550,H,Factory_B_Alex
L47317,L,Factory_C_Giza
H29552,H,Factory_C_Giza
L47319,L,Factory_A_Cairo
L47320,L,Factory_C_Giza
L47321,L,Factory_C_Giza
M15002,M,Factory_B_Alex
H29557,H,Factory_B_Alex
M15004,M,Factory_A_Cairo
L47325,L,Factory_C_Giza
H29560,H,Factory_C_Giza
L47327,L,Factory_C_Giza
M15008,M,Factory_A_Cairo
L47329,L,Factory_A_Cairo
L47330,L,Factory_B_Alex
M15011,M,Factory_A_Cairo
M15012,M,Factory_C_Giza
L47333,L,Factory_C_Giza
L47334,L,Factory_A_Cairo
H29569,H,Factory_C_Giza
M15016,M,Factory_C_Giza
H29571,H,Factory_A_Cairo
M15018,M,Factory_A_Cairo
L47339,L,Factory_C_Giza
L47340,L,Factory_C_Giza
L47341,L,Factory_C_Giza
L47342,L,Factory_B_Alex
M15023,M,Factory_B_Alex
M15024,M,Factory_B_Alex
L47345,L,Factory_A_Cairo
H29580,H,Factory_B_Alex
H29581,H,Factory_A_Cairo
L47348,L,Factory_A_Cairo
L47349,L,Factory_B_Alex
M15030,M,Factory_B_Alex
L47351,L,Factory_B_Alex
M15032,M,Factory_C_Giza
M15033,M,Factory_B_Alex
L47354,L,Factory_C_Giza
L47355,L,Factory_A_Cairo
L47356,L,Factory_C_Giza
L47357,L,Factory_B_Alex
L47358,L,Factory_A_Cairo
L47359,L,Factory_A_Cairo
L47360,L,Factory_A_Cairo
H29595,H,Factory_C_Giza
