UDI,Timestamp,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Downtime_Minutes
1,2024-01-01 08:00:00,M14860,298.1,308.6,1551,42.8,0,0,No Failure,0
2,2024-01-01 08:10:00,L47181,298.2,308.7,1408,46.3,3,0,No Failure,0
3,2024-01-01 08:20:00,L47182,298.1,308.5,1498,49.4,5,0,No Failure,0
4,2024-01-01 08:30:00,L47183,298.2,308.6,1433,39.5,7,0,No Failure,0
5,2024-01-01 08:40:00,L47184,298.2,308.7,1408,40.0,9,0,No Failure,0
6,2024-01-01 08:50:00,M14865,298.1,308.6,1425,41.9,11,0,No Failure,0
7,2024-01-01 09:00:00,L47186,298.1,308.6,1558,42.4,14,0,No Failure,0
8,2024-01-01 09:10:00,L47187,298.1,308.6,1527,40.2,16,0,No Failure,0
9,2024-01-01 09:20:00,M14868,298.3,308.7,1667,28.6,18,0,No Failure,0
10,2024-01-01 09:30:00,M14869,298.5,309.0,1741,28.0,21,0,No Failure,0
11,2024-01-01 09:40:00,H29424,298.4,308.9,1782,23.9,24,0,No Failure,0
12,2024-01-01 09:50:00,H29425,298.6,309.1,1423,44.3,29,0,No Failure,0
13,2024-01-01 10:00:00,M14872,298.6,309.1,1339,51.1,34,0,No Failure,0
14,2024-01-01 10:10:00,M14873,298.6,309.2,1742,30.0,37,0,No Failure,0
15,2024-01-01 10:20:00,L47194,298.6,309.2,2035,19.6,40,0,No Failure,0
16,2024-01-01 10:30:00,L47195,298.6,309.2,1542,48.4,42,0,No Failure,0
17,2024-01-01 10:40:00,M14876,298.6,309.2,1311,46.6,44,0,No Failure,0
18,2024-01-01 10:50:00,M14877,298.7,309.2,1410,45.6,47,0,No Failure,0
19,2024-01-01 11:00:00,H29432,298.8,309.2,1306,54.5,50,0,No Failure,0
20,2024-01-01 11:10:00,M14879,298.9,309.3,1632,32.5,55,0,No Failure,0
21,2024-01-01 11:20:00,H29434,298.9,309.3,1375,42.7,58,0,No Failure,0
22,2024-01-01 11:30:00,L47201,298.8,309.3,1450,44.8,63,0,No Failure,0
23,2024-01-01 11:40:00,M14882,298.9,309.3,1581,30.7,65,0,No Failure,0
24,2024-01-01 11:50:00,L47203,299.0,309.4,1758,25.7,68,0,No Failure,0
25,2024-01-01 12:00:00,M14884,299.0,309.4,1561,37.3,70,0,No Failure,0
26,2024-01-01 12:10:00,L47205,299.0,309.5,1861,23.3,73,0,No Failure,0
27,2024-01-01 12:20:00,L47206,299.1,309.5,1512,39.0,75,0,No Failure,0
28,2024-01-01 12:30:00,H29441,299.1,309.4,1811,24.6,77,0,No Failure,0
29,2024-01-01 12:40:00,L47208,299.1,309.4,1439,44.2,82,0,No Failure,0
30,2024-01-01 12:50:00,L47209,299.0,309.4,1693,30.1,84,0,No Failure,0
31,2024-01-01 13:00:00,M14890,299.1,309.5,1339,48.2,86,0,No Failure,0
32,2024-01-01 13:10:00,L47211,299.0,309.4,1798,25.5,89,0,No Failure,0
33,2024-01-01 13:20:00,L47212,299.0,309.4,1419,48.3,91,0,No Failure,0
34,2024-01-01 13:30:00,L47213,298.9,309.3,1665,32.5,93,0,No Failure,0
35,2024-01-01 13:40:00,M14894,298.8,309.1,1559,34.7,95,0,No Failure,0
36,2024-01-01 13:50:00,M14895,298.8,309.2,1452,48.6,98,0,No Failure,0
37,2024-01-01 14:00:00,M14896,298.9,309.2,1581,36.7,101,0,No Failure,0
38,2024-01-01 14:10:00,L47217,298.8,309.1,1439,39.2,104,0,No Failure,0
39,2024-01-01 14:20:00,H29452,298.9,309.2,1379,50.7,106,0,No Failure,0
