UDI,Timestamp,Product ID,Planned_Time_mins,Ideal_Cycle_Time_mins_per_piece,Total_Pieces,Defective_Pieces
1,2024-01-01 08:00:00,M14860,10,0.2,46,1
2,2024-01-01 08:10:00,L47181,10,0.2,46,0
3,2024-01-01 08:20:00,L47182,10,0.2,48,0
4,2024-01-01 08:30:00,L47183,10,0.2,45,2
5,2024-01-01 08:40:00,L47184,10,0.2,46,1
6,2024-01-01 08:50:00,M14865,10,0.2,48,0
7,2024-01-01 09:00:00,L47186,10,0.2,46,2
8,2024-01-01 09:10:00,L47187,10,0.2,47,0
9,2024-01-01 09:20:00,M14868,10,0.2,46,1
10,2024-01-01 09:30:00,M14869,10,0.2,50,0
11,2024-01-01 09:40:00,H29424,10,0.2,50,1
12,2024-01-01 09:50:00,H29425,10,0.2,46,2
13,2024-01-01 10:00:00,M14872,10,0.2,49,2
14,2024-01-01 10:10:00,M14873,10,0.2,47,0
15,2024-01-01 10:20:00,L47194,10,0.2,45,2
16,2024-01-01 10:30:00,L47195,10,0.2,46,0
17,2024-01-01 10:40:00,M14876,10,0.2,45,0
18,2024-01-01 10:50:00,M14877,10,0.2,47,1
19,2024-01-01 11:00:00,H29432,10,0.2,46,0
20,2024-01-01 11:10:00,M14879,10,0.2,49,1
21,2024-01-01 11:20:00,H29434,10,0.2,48,0
22,2024-01-01 11:30:00,L47201,10,0.2,49,1
23,2024-01-01 11:40:00,M14882,10,0.2,49,2
24,2024-01-01 11:50:00,L47203,10,0.2,48,0
25,2024-01-01 12:00:00,M14884,10,0.2,48,1
26,2024-01-01 12:10:00,L47205,10,0.2,50,0
27,2024-01-01 12:20:00,L47206,10,0.2,48,1
28,2024-01-01 12:30:00,H29441,10,0.2,46,1
29,2024-01-01 12:40:00,L47208,10,0.2,45,0
30,2024-01-01 12:50:00,L47209,10,0.2,50,0
31,2024-01-01 13:00:00,M14890,10,0.2,50,2
32,2024-01-01 13:10:00,L47211,10,0.2,45,2
33,2024-01-01 13:20:00,L47212,10,0.2,50,2
34,2024-01-01 13:30:00,L47213,10,0.2,48,0
35,2024-01-01 13:40:00,M14894,10,0.2,49,2
36,2024-01-01 13:50:00,M14895,10,0.2,47,1
37,2024-01-01 14:00:00,M14896,10,0.2,48,0
38,2024-01-01 14:10:00,L47217,10,0.2,49,1
39,2024-01-01 14:20:00,H29452,10,0.2,49,1
40,2024-01-01 14:30:00,L47219,10,0.2,50,1
41,2024-01-01 14:40:00,L47220,10,0.2,46,0
42,2024-01-01 14:50:00,L47221,10,0.2,46,0
43,2024-01-01 15:00:00,M14902,10,0.2,50,2
44,2024-01-01 15:10:00,H29457,10,0.2,50,2
45,2024-01-01 15:20:00,M14904,10,0.2,45,2
46,2024-01-01 15:30:00,L47225,10,0.2,45,2
