Production_ID,Date,Shift,Machine_ID,Operator_ID,Production_Line,Planned_Time_mins,Downtime_Minutes,Operating_Time_mins,Total_Pieces,Defective_Pieces,Ideal_Cycle_Time_mins_per_piece,Failure_Flag,Failure_ID,Air_Temperature_K,Process_Temperature_K,Humidity_Percentage,Energy_Consumption_kWh,Target_Production,Actual_Production,Overtime_Minutes
PROD00001,2024-01-04,Morning,M001,OP015,Line 1,480,6,474,788,15,0.5,0,F000,303.32,316.35,43.5,37.62,864,788,19
PROD00002,2024-01-04,Afternoon,M001,OP012,Line 1,480,3,477,903,18,0.5,0,F000,297.98,309.75,64.9,36.39,864,903,0
PROD00003,2024-01-04,Night,M001,OP003,Line 1,480,19,461,835,25,0.5,0,F000,300.78,309.55,60.1,42.36,864,835,7
PROD00004,2024-01-10,Morning,M001,OP004,Line 1,480,8,472,849,16,0.5,0,F000,300.5,310.26,57.1,46.2,864,849,3
PROD00005,2024-01-10,Afternoon,M001,OP009,Line 1,480,8,472,816,16,0.5,0,F000,299.08,310.12,53.1,46.44,864,816,12
PROD00006,2024-01-10,Night,M001,OP007,Line 1,480,11,469,850,25,0.5,0,F000,298.87,307.61,60.0,43.96,864,850,3
PROD00007,2024-01-15,Morning,M001,OP010,Line 1,480,11,469,855,17,0.5,0,F000,300.66,308.66,48.0,27.95,864,855,2
PROD00008,2024-01-15,Afternoon,M001,OP018, Line 1,480,4,476,872,17,0.5,0,F000,296.37,304.92,64.3,44.03,864,872,0
PROD00009,2024-01-15,Night,M001,OP007,Line 1,480,3,477,859,25,0.5,0,F000,297.76,311.87,51.9,32.08,864,859,1
PROD00010,2024-01-16,Morning,M001,OP003,Line 1,480,6,474,885,17,0.5,0,F000,299.28,309.89,71.0,36.63,864,885,0
PROD00011,2024-01-16,Afternoon,M001,OP003,Line 1,480,8,472,811,16,0.5,0,F000,300.21,312.63,44.2,45.49,864,811,13
PROD00012,2024-01-16,Night,M001,OP008,Line 1,480,5,475,857,25,0.5,0,F000,301.13,312.9,63.9,45.25,864,857,1
PROD00013,2024-01-17,Morning,M001,OP004,Line 1,480,12,468,797,15,0.5,0,F000,302.61,313.58,53.7,41.71,864,797,16
PROD00014,2024-01-17,Afternoon,M001,OP006,Line 1,480,10,470,898,17,0.5,0,F000,301.82,310.58,42.7,38.02,864,898,0
PROD00015,2024-01-17,Night,M001,OP003,Line 1,480,4,476,930,27,0.5,0,F000,294.41,306.26,37.0,47.66,864,930,0
PROD00016,2024-01-18,Morning,M001,OP013,Line 1,480,13,467,792,15,0.5,0,F000,302.09,313.49,43.5,35.16,864,792,18
PROD00017,2024-01-18,Afternoon,M001,OP010,Line 1,480,43,437,833,112,0.5,1,F004,293.33,308.3,57.2,39.01,864,833,7
PROD00018,2024-01-18,Night,M001,OP017,Line 1,480,2,478,903,27,0.5,0,F000,303.5,311.93,47.5,28.91,864,903,0
PROD00019,2024-01-19,Morning,M001,OP008,Line 1,480,16,464,773,15,0.5,0,F000,301.58,314.31,44.4,29.68,864,773,22
PROD00020,2024-01-19,Afternoon,M001,OP011,Line 1,480,1,479,798,15,0.5,0,F000,303.71,316.31,57.6,34.27,864,798,16
PROD00021,2024-01-19,Night,M001,OP004,Line 1,480,6,474,885,26,0.5,0,F000,299.19,312.45,37.9,36.82,864,885,0
PROD00022,2024-01-22,Morning,M001,OP006,Line 1,480,4,476,823,16,0.5,0,F000,302.49,317.02,70.2,45.26,864,823,10
PROD00023,2024-01-22,Afternoon,M001,OP004,Line 1,480,8,472,822,16,0.5,0,F000,305.41,317.11,61.7,38.59,864,822,10
PROD00024,2024-01-22,Night,M001,OP011,Line 1,480,3,477,801,24,0.5,0,F000,299.45,308.2,57.1,33.28,864,801,15
PROD00025,2024-01-26,Morning,M001,OP001,Line 1,480,9,471,814,16,0.5,0,F000,293.5,307.42,38.7,35.89,864,814,12
PROD00026,2024-01-26,Afternoon,M001,OP004,Line 1,480,3,477,941,18,0.5,0,F000,300.47,309.6,52.7,41.89,864,941,0
PROD00027,2024-01-26,Night,M001,OP002,Line 1,480,14,466,907,27,0.5,0,F000,294.54,306.62,40.9,29.82,864,907,0
PROD00028,2024-01-27,Morning,M001,OP020,Line 1,480,4,476,821,16,0.5,0,F000,298.39,307.11,66.2,45.35,864,821,10
PROD00029,2024-01-27,Afternoon,M001,OP014,Line 1,480,15,465,800,16,0.5,0,F000,302.81,312.05,51.5,30.89,864,800,16
PROD00030,2024-01-27,Night,M001,OP016,Line 1,480,13,467,894,26,0.5,0,F000,304.59,314.46,66.5,29.59,864,894,0
PROD00031,2024-02-10,Morning,M001,OP003,Line 1,480,12,468,840,16,0.5,0,F000,298.18,307.77,35.9,31.21,864,840,6
PROD00032,2024-02-10,Afternoon,M001,OP004,Line 1,480,5,475,882,17,0.5,0,F000,305.03,315.83,74.2,38.42,864,882,0
PROD00033,2024-02-10,Night,M001,OP017,Line 1,480,5,475,872,26,0.5,0,F000,300.83,313.01,48.8,43.34,864,872,0
PROD00034,2024-02-16,Morning,M001,OP007,Line 1,480,14,466,794,15,0.5,0,F000,299.91,308.22,52.4,37.53,864,794,17
PROD00035,2024-02-16,Afternoon,M001,OP014,Line 1,480,2,478,891,17,0.5,0,F000,298.74,312.68,63.8,33.89,864,891,0
PROD00036,2024-02-16,Night,M001,OP006,Line 1,480,10,470,859,25,0.5,0,F000,302.28,311.62,61.6,35.01,864,859,1
PROD00037,2024-02-17,Morning,M001,OP015,Line 1,480,5,475,867,17,0.5,0,F000,302.47,313.48,58.2,40.73,864,867,0
PROD00038,2024-02-17,Afternoon,M001,OP020,Line 1,480,7,473,903,18,0.5,0,F000,300.01,314.73,64.4,40.66,864,903,0
PROD00039,2024-02-17,Night,M001,OP003,Line 1,480,12,468,887,26,0.5,0,F000,299.0,308.39,36.0,32.24,864,887,0
PROD00040,2024-02-20,Morning,M001,OP001,Line 1,480,14,466,855,17,0.5,0,F000,298.11,311.14,50.4,35.08,864,855,2
PROD00041,2024-02-20,Afternoon,M001,OP004,Line 1,480,13,467,906,18,0.5,0,F000,300.37,314.0,62.8,36.47,864,906,0
PROD00042,2024-02-20,Night,M001,OP020,Line 1,480,12,468,873,26,0.5,0,F000,297.93,312.85,58.8,46.05,864,873,0
PROD00043,2024-02-21,Morning,M001,OP009,Line 1,480,14,466,831,16,0.5,0,F000,302.72,311.83,69.5,36.16,864,831,8
PROD00044,2024-02-21,Afternoon,M001,OP011,Line 1,480,8,472,874,17,0.5,0,F000,298.2,308.12,38.1,33.24,864,874,0
PROD00045,2024-02-21,Night,M001,OP002,Line 1,480,2,478,808,24,0.5,0,F000,298.72,308.22,51.6,34.5,864,808,14
PROD00046,2024-02-24,Morning,M001,OP013,Line 1,480,6,474,923,18,0.5,0,F000,301.16,313.25,62.8,44.67,864,923,0
PROD00047,2024-02-24,Afternoon,M001,OP008,Line 1,480,15,465,809,16,0.5,0,F000,295.13,308.98,56.5,41.62,864,809,13
PROD00048,2024-02-24,Night,M001,OP015,Line 1,480,5,475,857,25,0.5,0,F000,304.03,314.75,61.8,43.59,864,857,1
PROD00049,2024-02-27,Morning,M001,OP006,Line 1,480,17,463,843,16,0.5,0,F000,303.35,315.99,38.4,35.59,864,843,5
PROD00050,2024-02-27,Afternoon,M001,OP014,Line 1,480,6,474,811,16,0.5,0,F000,297.78,308.07,65.4,35.24,864,811,13
PROD00051,2024-02-27,Night,M001,OP001,Line 1,480,2,478,787,23,0.5,0,F000,287.46,297.91,61.0,43.47,864,787,19
PROD00052,2024-02-29,Morning,M001,OP007,Line 1,480,4,476,783,15,0.5,0,F000,296.83,305.9,40.0,41.1,864,783,20
PROD00053,2024-02-29,Afternoon,M001,OP019,Line 1,480,5,475,838,16,0.5,0,F000,293.92,306.95,66.1,31.01,864,838,6
PROD00054,2024-02-29,Night,M001,OP008,Line 1,480,68,412,802,100,0.5,1,F003,295.23,309.82,42.9,35.42,864,802,15
PROD00055,2024-03-01,Morning,M001,OP012,Line 1,480,11,469,904,18,0.5,0,F000,298.77,313.66,66.3,34.29,864,904,0
PROD00056,2024-03-01,Afternoon,M001,OP015,Line 1,480,9,471,774,15,0.5,0,F000,299.1,310.04,54.6,36.1,864,774,22
PROD00057,2024-03-01,Night,M001,OP019,Line 1,480,6,474,895,26,0.5,0,F000,302.32,315.98,56.5,37.28,864,895,0
PROD00058,2024-03-02,Morning,M001,OP020,Line 1,480,13,467,897,17,0.5,0,F000,299.49,308.1,70.3,32.17,864,897,0
PROD00059,2024-03-02,Afternoon,M001,OP009,Line 1,480,5,475,858,17,0.5,0,F000,298.42,308.9,45.3,33.32,864,858,1
PROD00060,2024-03-02,Night,M001,OP016,Line 1,480,7,473,806,24,0.5,0,F000,303.09,312.78,51.3,38.61,864,806,14
PROD00061,2024-03-06,Morning,M001,OP017,Line 1,480,7,473,903,18,0.5,0,F000,301.77,314.61,47.2,39.15,864,903,0
PROD00062,2024-03-06,Afternoon,M001,OP007,Line 1,480,18,462,844,16,0.5,0,F000,301.17,311.63,53.1,33.05,864,844,5
PROD00063,2024-03-06,Night,M001,OP020,Line 1,480,11,469,920,27,0.5,0,F000,299.28,312.45,46.1,39.07,864,920,0
PROD00064,2024-03-07,Morning,M001,OP009,Line 1,480,3,477,813,16,0.5,0,F000,298.18,307.77,42.2,28.15,864,813,12
PROD00065,2024-03-07,Afternoon,M001,OP006,Line 1,480,101,379,711,67,0.5,1,F001,302.36,316.47,58.0,30.88,864,711,38
PROD00066,2024-03-07,Night,M001,OP002,Line 1,480,5,475,918,27,0.5,0,F000,297.44,306.24,37.6,37.52,864,918,0
PROD00067,2024-03-08,Morning,M001,OP017,Line 1,480,12,468,918,18,0.5,0,F000,301.95,313.86,51.6,39.11,864,918,0
PROD00068,2024-03-08,Afternoon,M001,OP004,Line 1,480,14,466,811,16,0.5,0,F000,301.16,313.28,52.2,38.35,864,811,13
PROD00069,2024-03-08,Night,M001,OP020,Line 1,480,4,476,814,24,0.5,0,F000,299.06,308.28,38.0,27.87,864,814,12
PROD00070,2024-03-13,Morning,M001,OP009,Line 1,480,1,479,832,16,0.5,0,F000,298.52,308.5,69.4,29.37,864,832,8
PROD00071,2024-03-13,Afternoon,M001,OP003,Line 1,480,9,471,878,17,0.5,0,F000,302.89,314.7,60.9,45.46,864,878,0
PROD00072,2024-03-13,Night,M001,OP009,Line 1,480,69,411,789,150,0.5,1,F003,298.72,309.79,53.7,30.08,864,789,18
PROD00073,2024-03-14,Morning,M001,,Line 1,480,7,473,788,15,0.5,0,F000,303.09,313.35,45.0,29.53,864,788,19
PROD00074,2024-03-14,Afternoon,M001,OP017,Line 1,480,1,479,910,18,0.5,0,F000,300.79,314.54,58.0,43.18,864,910,0
PROD00075,2024-03-14,Night,M001,OP004, Line 1,480,14,466,792,23,0.5,0,F000,296.34,307.78,38.6,34.11,864,792,18
PROD00076,2024-03-20,Morning,M001,OP015,Line 1,480,5,475,891,17,0.5,0,F000,297.82,307.84,72.8,43.88,864,891,0
PROD00077,2024-03-20,Afternoon,M001,OP002,Line 1,480,5,475,797,15,0.5,0,F000,300.85,314.62,35.0,44.98,864,797,16
PROD00078,2024-03-20,Night,M001,OP010,Line 1,480,6,474,899,26,0.5,0,F000,294.06,306.44,65.4,31.76,864,899,0
PROD00079,2024-03-21,Morning,M001,OP003,Line 1,480,10,470,790,15,0.5,0,F000,304.05,313.73,41.3,38.35,864,790,18
PROD00080,2024-03-21,Afternoon,M001,OP010,Line 1,480,13,467,783,15,0.5,0,F000,299.31,313.94,60.9,30.49,864,783,20
